,Date,Time,Max_Temperature,Min_Temperature,Humidity,Barometer,Wind,Weather_fog,Weather_haze,Weather_light rain passing clouds,Weather_light rain scattered clouds,Weather_passing clouds,Weather_rain passing clouds,Weather_rain showers scattered clouds,Weather_scattered clouds,Weather_thunderstorms passing clouds,Weather_thunderstorms scattered clouds,Wind Direction
48,13 february 2024,00:00 — 06:00,27,25,91,1013,1,False,False,False,False,True,False,False,False,False,False,0.0
49,13 february 2024,06:00 — 12:00,32,25,73,1014,4,False,False,False,False,True,False,False,False,False,False,0.0
50,13 february 2024,12:00 — 18:00,35,32,54,1011,10,False,False,False,False,True,False,False,False,False,False,0.0
51,13 february 2024,18:00 — 00:00,32,27,81,1012,6,False,False,False,False,True,False,False,False,False,False,0.0
52,14 february 2024,00:00 — 06:00,27,25,90,1012,1,False,False,False,False,True,False,False,False,False,False,0.0
53,14 february 2024,06:00 — 12:00,32,25,77,1013,4,False,False,False,False,True,False,False,False,False,False,0.0
54,14 february 2024,12:00 — 18:00,32,32,58,1011,9,False,False,False,False,True,False,False,False,False,False,13.0
55,14 february 2024,18:00 — 00:00,32,27,81,1011,5,False,False,False,False,True,False,False,False,False,False,0.0
56,15 february 2024,00:00 — 06:00,27,26,84,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
57,15 february 2024,06:00 — 12:00,32,27,70,1012,5,False,False,False,False,True,False,False,False,False,False,0.0
58,15 february 2024,12:00 — 18:00,33,31,60,1011,10,False,False,False,False,True,False,False,False,False,False,0.0
59,15 february 2024,18:00 — 00:00,31,27,81,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
60,16 february 2024,00:00 — 06:00,27,26,89,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
61,16 february 2024,06:00 — 12:00,33,25,71,1012,4,False,False,False,False,True,False,False,False,False,False,0.0
62,16 february 2024,12:00 — 18:00,35,33,51,1010,9,False,False,False,False,True,False,False,False,False,False,0.0
63,16 february 2024,18:00 — 00:00,33,25,91,1011,9,False,False,False,False,False,False,False,False,True,False,0.0
64,17 february 2024,00:00 — 06:00,26,25,93,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
65,17 february 2024,06:00 — 12:00,26,25,92,1012,1,False,False,False,False,True,False,False,False,False,False,0.0
66,17 february 2024,12:00 — 18:00,34,31,57,1009,9,False,False,False,False,True,False,False,False,False,False,6.0
67,17 february 2024,18:00 — 00:00,31,29,74,1010,6,False,False,False,False,True,False,False,False,False,False,0.0
68,18 february 2024,00:00 — 06:00,29,27,76,1011,4,False,False,False,False,True,False,False,False,False,False,0.0
69,18 february 2024,06:00 — 12:00,33,27,66,1012,4,False,False,False,False,True,False,False,False,False,False,0.0
70,18 february 2024,12:00 — 18:00,35,27,65,1010,9,False,False,False,False,True,False,False,False,False,False,0.0
71,18 february 2024,18:00 — 00:00,27,26,92,1011,6,False,False,False,False,True,False,False,False,False,False,0.0
72,19 february 2024,00:00 — 06:00,26,26,94,1011,1,False,False,False,False,True,False,False,False,False,False,0.0
73,19 february 2024,06:00 — 12:00,33,26,79,1012,4,False,False,False,False,True,False,False,False,False,False,0.0
74,19 february 2024,12:00 — 18:00,34,26,74,1010,12,False,False,False,False,True,False,False,False,False,False,0.0
75,19 february 2024,18:00 — 00:00,28,27,89,1010,4,False,False,False,False,True,False,False,False,False,False,0.0
76,20 february 2024,00:00 — 06:00,27,26,91,1011,4,False,False,False,False,True,False,False,False,False,False,0.0
77,20 february 2024,06:00 — 12:00,31,26,82,1013,6,False,False,False,False,True,False,False,False,False,False,0.0
78,20 february 2024,12:00 — 18:00,34,31,64,1010,13,False,False,False,False,True,False,False,False,False,False,6.0
79,20 february 2024,18:00 — 00:00,32,26,84,1010,11,False,False,False,False,False,False,False,False,True,False,0.0
80,21 february 2024,00:00 — 06:00,27,27,89,1011,1,False,False,False,False,True,False,False,False,False,False,0.0
81,21 february 2024,06:00 — 12:00,32,26,81,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
82,21 february 2024,12:00 — 18:00,34,31,66,1009,12,False,False,False,False,True,False,False,False,False,False,6.0
83,21 february 2024,18:00 — 00:00,31,27,83,1010,4,False,False,False,False,True,False,False,False,False,False,0.0
84,22 february 2024,00:00 — 06:00,27,26,92,1011,1,False,False,False,False,True,False,False,False,False,False,0.0
85,22 february 2024,06:00 — 12:00,30,26,90,1013,6,False,False,False,False,True,False,False,False,False,False,7.0
86,22 february 2024,12:00 — 18:00,33,30,66,1010,12,False,False,False,False,True,False,False,False,False,False,
87,22 february 2024,18:00 — 00:00,32,27,82,1011,6,False,False,False,False,True,False,False,False,False,False,0.0
88,23 february 2024,00:00 — 06:00,27,27,89,1012,1,False,False,False,False,True,False,False,False,False,False,0.0
89,23 february 2024,06:00 — 12:00,31,27,81,1012,4,False,False,False,False,True,False,False,False,False,False,0.0
90,23 february 2024,12:00 — 18:00,33,31,62,1011,12,False,False,False,False,True,False,False,False,False,False,
91,23 february 2024,18:00 — 00:00,31,27,77,1011,7,False,False,False,False,True,False,False,False,False,False,0.0
92,24 february 2024,00:00 — 06:00,28,27,88,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
93,24 february 2024,06:00 — 12:00,31,27,82,1012,4,False,False,False,False,True,False,False,False,False,False,0.0
94,24 february 2024,12:00 — 18:00,34,25,70,1010,11,False,False,False,False,True,False,False,False,False,False,8.0
95,24 february 2024,18:00 — 00:00,26,25,91,1011,4,False,False,False,False,True,False,False,False,False,False,0.0
96,25 february 2024,00:00 — 06:00,26,25,93,1011,1,False,False,False,False,True,False,False,False,False,False,0.0
97,25 february 2024,06:00 — 12:00,32,25,76,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
98,25 february 2024,12:00 — 18:00,35,32,53,1010,5,False,False,False,False,True,False,False,False,False,False,0.0
99,25 february 2024,18:00 — 00:00,34,27,75,1010,7,False,False,False,False,True,False,False,False,False,False,6.0
100,26 february 2024,00:00 — 06:00,28,26,82,1010,4,False,False,False,False,True,False,False,False,False,False,0.0
101,26 february 2024,06:00 — 12:00,31,26,70,1011,6,False,False,False,False,True,False,False,False,False,False,0.0
102,26 february 2024,12:00 — 18:00,34,31,53,1009,8,False,False,False,False,True,False,False,False,False,False,0.0
103,26 february 2024,18:00 — 00:00,33,28,75,1009,6,False,False,False,False,True,False,False,False,False,False,6.0
104,27 february 2024,00:00 — 06:00,28,26,83,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
105,27 february 2024,06:00 — 12:00,33,26,65,1011,5,False,False,False,False,True,False,False,False,False,False,0.0
106,27 february 2024,12:00 — 18:00,36,32,47,1009,7,False,False,False,False,True,False,False,False,False,False,0.0
107,27 february 2024,18:00 — 00:00,32,29,66,1009,6,False,False,False,False,True,False,False,False,False,False,0.0
108,28 february 2024,00:00 — 06:00,29,27,68,1009,3,False,False,False,False,True,False,False,False,False,False,0.0
109,28 february 2024,06:00 — 12:00,33,26,62,1009,6,False,False,False,False,True,False,False,False,False,False,13.0
110,28 february 2024,12:00 — 18:00,35,32,49,1008,10,False,False,False,False,True,False,False,False,False,False,0.0
111,28 february 2024,18:00 — 00:00,32,29,63,1009,7,False,False,False,False,True,False,False,False,False,False,0.0
112,29 february 2024,00:00 — 06:00,29,26,71,1009,2,False,False,False,False,True,False,False,False,False,False,0.0
113,29 february 2024,06:00 — 12:00,33,26,66,1010,4,False,False,False,False,True,False,False,False,False,False,0.0
114,29 february 2024,12:00 — 18:00,36,32,47,1008,8,False,False,False,False,True,False,False,False,False,False,0.0
115,29 february 2024,18:00 — 00:00,32,28,77,1009,5,False,False,False,False,True,False,False,False,False,False,0.0
116,1 january 2024,00:00 — 06:00,26,25,95,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
117,1 january 2024,06:00 — 12:00,32,25,83,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
118,1 january 2024,12:00 — 18:00,33,30,67,1010,9,False,False,False,False,False,False,False,True,False,False,8.0
119,1 january 2024,18:00 — 00:00,30,27,86,1011,5,False,False,False,False,True,False,False,False,False,False,0.0
120,2 january 2024,00:00 — 06:00,27,25,95,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
121,2 january 2024,06:00 — 12:00,31,25,86,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
122,2 january 2024,12:00 — 18:00,32,31,70,1009,11,False,False,False,False,True,False,False,False,False,False,6.0
123,2 january 2024,18:00 — 00:00,31,27,87,1010,4,False,False,False,False,True,False,False,False,False,False,7.0
124,3 january 2024,00:00 — 06:00,27,26,93,1010,0,False,False,False,False,True,False,False,False,False,False,0.0
125,3 january 2024,06:00 — 12:00,31,26,83,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
126,3 january 2024,12:00 — 18:00,32,26,80,1009,9,False,False,False,False,False,False,False,True,False,False,0.0
127,3 january 2024,18:00 — 00:00,27,26,92,1010,3,False,False,False,False,True,False,False,False,False,False,0.0
128,4 january 2024,00:00 — 06:00,26,26,94,1010,1,False,False,False,False,True,False,False,False,False,False,0.0
129,4 january 2024,06:00 — 12:00,32,26,80,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
130,4 january 2024,12:00 — 18:00,33,27,78,1010,8,False,False,False,False,True,False,False,False,False,False,0.0
131,4 january 2024,18:00 — 00:00,27,26,90,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
132,5 january 2024,00:00 — 06:00,26,25,93,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
133,5 january 2024,06:00 — 12:00,31,25,78,1011,7,False,False,False,False,True,False,False,False,False,False,0.0
134,5 january 2024,12:00 — 18:00,33,30,61,1010,7,False,False,False,False,True,False,False,False,False,False,0.0
135,5 january 2024,18:00 — 00:00,30,27,80,1011,4,False,False,False,False,True,False,False,False,False,False,0.0
136,6 january 2024,00:00 — 06:00,27,26,89,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
137,6 january 2024,06:00 — 12:00,30,26,81,1012,2,False,False,False,False,True,False,False,False,False,False,0.0
138,6 january 2024,12:00 — 18:00,31,27,76,1010,7,False,False,False,False,True,False,False,False,False,False,0.0
139,6 january 2024,18:00 — 00:00,27,25,91,1012,5,False,False,False,False,True,False,False,False,False,False,0.0
140,7 january 2024,00:00 — 06:00,26,25,92,1012,6,False,False,False,False,True,False,False,False,False,False,0.0
141,7 january 2024,06:00 — 12:00,27,25,90,1013,3,False,False,False,False,True,False,False,False,False,False,0.0
142,7 january 2024,12:00 — 18:00,27,26,89,1011,4,False,False,True,False,False,False,False,False,False,False,0.0
143,7 january 2024,18:00 — 00:00,26,26,93,1011,2,False,False,True,False,False,False,False,False,False,False,0.0
144,8 january 2024,00:00 — 06:00,26,25,94,1011,4,False,False,False,False,True,False,False,False,False,False,0.0
145,8 january 2024,06:00 — 12:00,31,25,82,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
146,8 january 2024,12:00 — 18:00,31,29,70,1010,7,False,False,False,False,True,False,False,False,False,False,6.0
147,8 january 2024,18:00 — 00:00,29,25,87,1011,5,False,False,False,False,False,False,False,False,True,False,0.0
148,9 january 2024,00:00 — 06:00,25,25,95,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
149,9 january 2024,06:00 — 12:00,29,25,91,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
150,9 january 2024,12:00 — 18:00,31,27,80,1010,10,False,False,False,False,True,False,False,False,False,False,14.0
151,9 january 2024,18:00 — 00:00,27,25,92,1010,8,False,False,False,False,True,False,False,False,False,False,14.0
152,10 january 2024,00:00 — 06:00,25,24,94,1010,1,False,False,False,False,True,False,False,False,False,False,0.0
153,10 january 2024,06:00 — 12:00,31,24,87,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
154,10 january 2024,12:00 — 18:00,33,30,64,1009,7,False,False,False,False,True,False,False,False,False,False,0.0
155,10 january 2024,18:00 — 00:00,30,28,84,1010,4,False,False,False,False,True,False,False,False,False,False,0.0
156,11 january 2024,00:00 — 06:00,28,26,90,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
157,11 january 2024,06:00 — 12:00,31,26,83,1011,5,False,False,False,False,True,False,False,False,False,False,0.0
158,11 january 2024,12:00 — 18:00,33,30,69,1009,11,False,False,False,False,True,False,False,False,False,False,0.0
159,11 january 2024,18:00 — 00:00,30,25,88,1010,6,False,False,False,False,True,False,False,False,False,False,0.0
160,12 january 2024,00:00 — 06:00,26,25,94,1011,1,False,False,False,False,True,False,False,False,False,False,0.0
161,12 january 2024,06:00 — 12:00,31,25,83,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
162,12 january 2024,12:00 — 18:00,33,31,54,1010,6,False,False,False,False,True,False,False,False,False,False,0.0
163,12 january 2024,18:00 — 00:00,32,28,78,1010,5,False,False,False,False,True,False,False,False,False,False,0.0
164,13 january 2024,00:00 — 06:00,28,26,90,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
165,13 january 2024,06:00 — 12:00,32,26,75,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
166,13 january 2024,12:00 — 18:00,33,31,52,1010,8,False,False,False,False,True,False,False,False,False,False,0.0
167,13 january 2024,18:00 — 00:00,31,28,80,1011,5,False,False,False,False,True,False,False,False,False,False,6.0
168,14 january 2024,00:00 — 06:00,28,26,88,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
169,14 january 2024,06:00 — 12:00,32,26,75,1012,5,False,False,False,False,True,False,False,False,False,False,0.0
170,14 january 2024,12:00 — 18:00,34,32,51,1009,9,False,False,False,False,True,False,False,False,False,False,0.0
171,14 january 2024,18:00 — 00:00,32,27,76,1010,7,False,False,False,False,True,False,False,False,False,False,7.0
172,15 january 2024,00:00 — 06:00,27,26,88,1011,1,False,False,False,False,True,False,False,False,False,False,0.0
173,15 january 2024,06:00 — 12:00,32,26,76,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
174,15 january 2024,12:00 — 18:00,33,30,64,1009,10,False,False,False,False,True,False,False,False,False,False,7.0
175,15 january 2024,18:00 — 00:00,30,25,89,1010,10,False,False,False,False,False,False,False,False,True,False,7.0
176,16 january 2024,00:00 — 06:00,25,25,93,1011,5,False,False,True,False,False,False,False,False,False,False,0.0
177,16 january 2024,06:00 — 12:00,31,25,85,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
178,16 january 2024,12:00 — 18:00,32,26,73,1009,9,False,False,False,False,False,False,False,True,False,False,0.0
179,16 january 2024,18:00 — 00:00,26,26,91,1010,3,False,False,False,False,True,False,False,False,False,False,0.0
180,17 january 2024,00:00 — 06:00,26,25,93,1009,3,False,False,False,False,True,False,False,False,False,False,0.0
181,17 january 2024,06:00 — 12:00,31,25,80,1011,4,False,False,False,False,True,False,False,False,False,False,0.0
182,17 january 2024,12:00 — 18:00,33,30,58,1009,10,False,False,False,False,True,False,False,False,False,False,13.0
183,17 january 2024,18:00 — 00:00,30,27,78,1011,7,False,False,False,False,True,False,False,False,False,False,7.0
184,18 january 2024,00:00 — 06:00,27,26,90,1011,5,False,False,False,False,True,False,False,False,False,False,0.0
185,18 january 2024,06:00 — 12:00,30,26,82,1011,5,False,False,False,False,True,False,False,False,False,False,0.0
186,18 january 2024,12:00 — 18:00,31,29,70,1009,10,False,False,False,False,True,False,False,False,False,False,6.0
187,18 january 2024,18:00 — 00:00,30,26,87,1011,6,False,False,False,False,False,False,False,False,True,False,0.0
188,19 january 2024,00:00 — 06:00,26,25,93,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
189,19 january 2024,06:00 — 12:00,30,24,86,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
190,19 january 2024,12:00 — 18:00,32,27,74,1009,10,False,False,False,False,False,False,False,True,False,False,7.0
191,19 january 2024,18:00 — 00:00,27,26,91,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
192,20 january 2024,00:00 — 06:00,26,25,94,1011,2,False,False,False,False,True,False,False,False,False,False,0.0
193,20 january 2024,06:00 — 12:00,30,25,88,1012,2,False,False,False,False,True,False,False,False,False,False,0.0
194,20 january 2024,12:00 — 18:00,31,29,65,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
195,20 january 2024,18:00 — 00:00,29,27,84,1011,3,False,False,False,False,True,False,False,False,False,False,0.0
196,21 january 2024,00:00 — 06:00,27,26,90,1011,1,False,True,False,False,False,False,False,False,False,False,0.0
197,21 january 2024,06:00 — 12:00,31,25,79,1013,1,False,False,False,False,True,False,False,False,False,False,0.0
198,21 january 2024,12:00 — 18:00,33,31,59,1011,8,False,False,False,False,True,False,False,False,False,False,0.0
199,21 january 2024,18:00 — 00:00,31,26,77,1012,9,False,False,False,False,True,False,False,False,False,False,0.0
200,22 january 2024,00:00 — 06:00,26,26,88,1012,2,False,False,False,False,True,False,False,False,False,False,0.0
201,22 january 2024,06:00 — 12:00,31,26,78,1013,3,False,False,False,False,True,False,False,False,False,False,0.0
202,22 january 2024,12:00 — 18:00,33,27,74,1011,9,False,False,False,False,True,False,False,False,False,False,0.0
203,22 january 2024,18:00 — 00:00,27,26,87,1013,5,False,False,False,False,True,False,False,False,False,False,0.0
204,23 january 2024,00:00 — 06:00,26,26,89,1012,1,False,True,False,False,False,False,False,False,False,False,0.0
205,23 january 2024,06:00 — 12:00,31,25,80,1013,4,False,False,False,False,True,False,False,False,False,False,0.0
206,23 january 2024,12:00 — 18:00,33,24,74,1011,9,False,False,False,False,False,False,False,False,True,False,0.0
207,23 january 2024,18:00 — 00:00,25,25,93,1012,3,False,False,False,False,True,False,False,False,False,False,0.0
208,24 january 2024,00:00 — 06:00,25,24,96,1012,1,False,False,False,False,True,False,False,False,False,False,0.0
209,24 january 2024,06:00 — 12:00,31,24,85,1013,4,False,False,False,False,True,False,False,False,False,False,9.0
210,24 january 2024,12:00 — 18:00,33,24,76,1011,9,False,False,False,False,True,False,False,False,False,False,0.0
211,24 january 2024,18:00 — 00:00,25,24,97,1013,2,False,False,False,False,True,False,False,False,False,False,
212,25 january 2024,00:00 — 06:00,25,25,97,1013,1,False,False,False,False,True,False,False,False,False,False,9.0
213,25 january 2024,06:00 — 12:00,31,25,83,1014,5,False,False,False,False,True,False,False,False,False,False,0.0
214,25 january 2024,12:00 — 18:00,32,25,80,1013,8,False,False,False,False,False,False,False,False,True,False,0.0
215,25 january 2024,18:00 — 00:00,26,25,93,1015,3,False,False,False,False,True,False,False,False,False,False,0.0
216,26 january 2024,00:00 — 06:00,26,25,88,1014,2,False,False,False,False,True,False,False,False,False,False,0.0
217,26 january 2024,06:00 — 12:00,31,25,82,1015,4,False,False,False,False,True,False,False,False,False,False,0.0
218,26 january 2024,12:00 — 18:00,33,31,56,1013,8,False,False,False,False,True,False,False,False,False,False,0.0
219,26 january 2024,18:00 — 00:00,33,29,63,1014,7,False,False,False,False,True,False,False,False,False,False,0.0
220,27 january 2024,00:00 — 06:00,29,26,75,1014,5,False,False,False,False,True,False,False,False,False,False,0.0
221,27 january 2024,06:00 — 12:00,33,25,68,1014,8,False,False,False,False,True,False,False,False,False,False,0.0
222,27 january 2024,12:00 — 18:00,34,33,50,1012,10,False,False,False,False,True,False,False,False,False,False,0.0
223,27 january 2024,18:00 — 00:00,33,29,63,1013,7,False,False,False,False,True,False,False,False,False,False,1.0
224,28 january 2024,00:00 — 06:00,29,27,74,1014,3,False,False,False,False,True,False,False,False,False,False,0.0
225,28 january 2024,06:00 — 12:00,33,27,62,1014,10,False,False,False,False,True,False,False,False,False,False,0.0
226,28 january 2024,12:00 — 18:00,34,32,53,1012,10,False,False,False,False,True,False,False,False,False,False,0.0
227,28 january 2024,18:00 — 00:00,32,28,75,1013,5,False,False,False,False,True,False,False,False,False,False,0.0
228,29 january 2024,00:00 — 06:00,28,26,73,1014,4,False,False,False,False,True,False,False,False,False,False,0.0
229,29 january 2024,06:00 — 12:00,33,26,62,1014,6,False,False,False,False,True,False,False,False,False,False,0.0
230,29 january 2024,12:00 — 18:00,35,31,52,1012,10,False,False,False,False,True,False,False,False,False,False,0.0
231,29 january 2024,18:00 — 00:00,31,26,83,1013,7,False,False,False,False,True,False,False,False,False,False,0.0
232,30 january 2024,00:00 — 06:00,26,25,90,1014,2,False,False,False,False,True,False,False,False,False,False,0.0
233,30 january 2024,06:00 — 12:00,32,25,75,1014,4,False,False,False,False,True,False,False,False,False,False,0.0
234,30 january 2024,12:00 — 18:00,35,31,56,1012,11,False,False,False,False,True,False,False,False,False,False,0.0
235,30 january 2024,18:00 — 00:00,31,25,82,1013,8,False,False,False,False,False,False,False,False,True,False,0.0
236,31 january 2024,00:00 — 06:00,26,25,90,1014,1,False,False,False,False,True,False,False,False,False,False,0.0
237,31 january 2024,06:00 — 12:00,31,25,81,1014,3,False,False,False,False,True,False,False,False,False,False,0.0
238,31 january 2024,12:00 — 18:00,34,31,58,1012,8,False,False,False,False,True,False,False,False,False,False,0.0
239,31 january 2024,18:00 — 00:00,31,28,76,1012,6,False,False,False,False,True,False,False,False,False,False,6.0
240,1 december 2023,00:00 — 06:00,25,25,94,1010,3,False,False,False,False,False,False,False,False,True,False,0.0
241,1 december 2023,06:00 — 12:00,29,26,86,1010,1,False,False,False,False,True,False,False,False,False,False,0.0
242,1 december 2023,12:00 — 18:00,29,29,79,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
243,1 december 2023,18:00 — 00:00,29,27,84,1010,4,False,False,False,False,True,False,False,False,False,False,0.0
244,2 december 2023,00:00 — 06:00,27,27,89,1010,6,False,False,False,False,True,False,False,False,False,False,0.0
245,2 december 2023,06:00 — 12:00,31,27,78,1010,5,False,False,False,False,True,False,False,False,False,False,0.0
246,2 december 2023,12:00 — 18:00,33,31,62,1009,9,False,False,False,False,True,False,False,False,False,False,9.0
247,2 december 2023,18:00 — 00:00,26,26,92,1010,1,False,False,False,False,True,False,False,False,False,False,0.0
248,3 december 2023,00:00 — 06:00,26,26,94,1009,0,False,False,False,False,True,False,False,False,False,False,0.0
249,3 december 2023,06:00 — 12:00,30,25,87,1012,7,False,False,False,False,True,False,False,False,False,False,0.0
250,3 december 2023,12:00 — 18:00,31,25,76,1009,3,False,False,False,False,True,False,False,False,False,False,0.0
251,3 december 2023,18:00 — 00:00,30,27,82,1010,5,False,False,False,False,True,False,False,False,False,False,0.0
252,4 december 2023,00:00 — 06:00,27,26,93,1010,2,False,False,False,False,True,False,False,False,False,False,0.0
